ac_number,constituency,winner_2026,winning_party_2026,winner_votes_2026,total_votes_polled_2026,total_electors_2026,turnout_2026,reserved,region,winner_2021,winning_party_2021,winner_votes_2021,total_votes_polled_2021,total_electors_2021,turnout_2021,turnout_delta,seat_flipped,winner_vote_share_2026,winner_vote_share_2021,margin_2021,margin_2026
164,Kilvelur,LATHA. T,CPI(M),56108,151637,170558,88.91,SC,Delta,NAGAIMAALI V P,CPI(M),67988,142995,180026,79.43,9.47999999999999,False,37.0,47.55,16985,2278
165,Vedaranyam,MANIAN. O.S,AIADMK,59172,162216,187439,86.54,GEN,Delta,O.S.MANIAN,AIADMK,78719,158060,196104,80.6,5.940000000000012,False,36.48,49.8,12329,7331
166,Thiruthuraipoondi,MARIMUTHU.K,CPI,74062,191030,226845,84.21,SC,Delta,MARIMUTHU K,CPI,97092,185886,242228,76.74,7.469999999999999,False,38.77,52.23,30068,12922
167,Mannargudi,KAMARAJ. S,AMMK,68416,194100,234430,82.8,GEN,Delta,RAJAA T R B,DMK,87172,193229,259926,74.34,8.459999999999994,True,35.25,45.11,37393,1566
168,Thiruvarur,KALAIVANAN POONDI  K,DMK,93408,217875,260027,83.79,GEN,Delta,KALAIVANAN  POONDI  K.,DMK,108906,208290,284355,73.25,10.540000000000006,False,42.87,52.29,51174,18148
169,Nannilam,KAMARAJ. R,AIADMK,103462,231444,267432,86.54,GEN,Delta,KAMARAJ R,AIADMK,103637,221944,273735,81.08,5.460000000000008,False,44.7,46.7,4424,41724
170,Thiruvidaimarudur,GOVI.CHEZHIAAN,DMK,79951,208944,256930,81.32,SC,Delta,"CHEZHIAAN,  GOVI.",DMK,95763,198446,261940,75.76,5.559999999999988,False,38.26,48.26,10680,14116
171,Kumbakonam,VINOTH,TVK,78650,208288,254318,81.9,GEN,Delta,"ANBALAGAN, G.",DMK,96057,197564,276507,71.45,10.450000000000003,True,37.76,48.62,21383,679
172,Papanasam,A.M. SHAHJAHAN,IUML,69284,207723,256518,80.98,GEN,Delta,"Dr.JAWAHIRULLAH, M.H.",DMK,86567,196982,263486,74.76,6.219999999999999,True,33.35,43.95,16273,1065
173,Thiruvaiyaru,DURAI. CHANDRASEKARAN,DMK,80425,222111,258374,85.96,GEN,Delta,DURAI.CHANDRASEKARAN,DMK,103210,211430,270682,78.11,7.849999999999994,False,36.21,48.82,53650,8555
174,Thanjavur,R. VIJAYSARAVANAN,TVK,87705,198798,252676,78.68,GEN,Delta,"NEELAMEGAM, T.K.G.",DMK,103772,194859,296499,65.72,12.960000000000008,True,44.12,53.25,47149,16955
175,Orathanadu,R. VAITHILINGAM,DMK,86759,195304,233542,83.63,GEN,Delta,"VAITHILINGAM, R.",AIADMK,90063,191840,245038,78.29,5.339999999999989,True,44.42,46.95,28835,35028
176,Pattukkottai,ANNADURAI K,DMK,65963,183745,242420,75.8,GEN,Delta,"ANNADURAI, K.",DMK,79065,177200,247279,71.66,4.140000000000001,False,35.9,44.62,25269,13754
